num_forms,num_password_inputs,external_form_action,empty_form_action,mailto_form_action,num_links,external_link_ratio,empty_link_ratio,ip_link_count,num_resources,external_resource_ratio,uses_eval,uses_document_write,uses_settimeout,uses_setinterval,uses_window_location,uses_onmouseover,num_scripts,num_iframes,hidden_iframes,html_length,num_tags,phishing_keyword_count,urgency_word_count,avg_js_entropy,max_js_entropy,obfuscated_js_count,input_count,hidden_fields_count,has_sensitive_fields,has_marquee,has_hidden_redirect,image_count,external_images_count,cdn_images_count,brand_impersonation,facebook_cookie_harvesting
0,0,0,0,0,129,0.08527131782945736,0.1937984496124031,0,51,0.3137254901960784,0,0,0,0,1,0,31,3,3,179085,1459,33,0,5.098805579970239,5.383356466937907,8,0,0,0,0,0,4,2,1,1,1
0,0,0,0,0,98,0.42857142857142855,0.0,0,41,0.2926829268292683,0,0,0,0,0,0,29,1,1,302318,538,0,0,4.874047030413172,5.389017705090838,10,0,0,0,0,0,5,0,0,1,1
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2,0,127,0.08661417322834646,0.0,0,106,0.16981132075471697,1,1,1,1,1,0,75,7,0,492607,819,5,0,4.916320654774991,5.64947064020734,33,10,6,0,0,0,0,0,0,1,1
3,0,0,0,0,86,0.0,0.023255813953488372,0,83,0.37349397590361444,0,0,1,1,1,0,57,16,7,111325,570,0,0,4.897749657651365,5.391068703387842,20,3,0,0,0,0,9,0,0,1,1
2,0,0,2,0,178,0.0449438202247191,0.0,0,75,0.08,0,0,1,0,0,0,34,6,1,498632,1425,7,0,4.702334365272927,5.646577188573251,14,27,22,1,0,0,14,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,25,0.08,0.04,0,70,0.12857142857142856,0,0,1,1,0,0,23,7,0,155276,825,1,0,4.957018692473883,5.332553806317729,7,6,2,1,0,0,39,0,0,0,1
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,163446,5,57,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0
4,1,0,0,0,241,0.04564315352697095,0.0,0,24,0.041666666666666664,0,0,0,0,0,0,9,0,0,93295,963,4,0,5.280100673875788,5.392199744525603,2,15,4,1,0,0,2,0,0,1,0
1,0,0,0,0,57,0.14035087719298245,0.0,0,63,0.14285714285714285,0,0,0,0,1,0,40,0,0,103818,390,6,0,4.929566703343873,5.197771733727804,11,2,1,0,0,0,9,0,0,1,0
0,0,0,0,0,11,0.8181818181818182,0.0,0,76,0.6052631578947368,1,0,1,1,1,0,64,3,1,94671,197,0,0,5.037897922799247,5.465377343651835,35,0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,166,0.03614457831325301,0.0,0,157,0.09554140127388536,0,0,1,1,1,0,63,4,2,503456,1119,7,0,4.842256008046187,5.462060683957243,33,0,0,0,0,0,61,1,0,1,1
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,72,0.1111111111111111,0.0,0,149,0.22818791946308725,0,0,1,0,0,0,87,6,2,109028,511,1,0,4.7488532363584035,5.287072058904903,29,17,12,1,0,0,15,6,3,1,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,22,0.0,0,0,0,0,1,0,8,0,0,7807,32,0,0,4.729812422841727,4.889113577583053,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,409,0.33007334963325186,0.0,0,75,0.5333333333333333,0,0,1,1,1,0,44,5,2,234143,1156,0,0,4.4171945673321735,5.609321023849298,18,1,0,0,0,0,21,21,0,1,1
0,0,0,0,0,165,0.04242424242424243,0.006060606060606061,0,371,0.21024258760107817,0,0,1,0,0,0,27,3,1,207610,1256,1,0,4.707944933712134,5.179855253254745,13,0,0,0,0,0,71,69,0,0,1
1,0,0,0,0,127,0.14960629921259844,0.0,0,157,0.5414012738853503,0,0,1,0,1,0,88,4,0,709165,1295,8,0,4.877303803317235,5.52672955990465,53,4,0,0,0,0,44,44,43,0,1
1,0,0,0,0,143,0.006993006993006993,0.013986013986013986,0,47,0.02127659574468085,0,0,0,0,0,0,7,0,0,64215,648,0,0,4.95826885821727,4.95826885821727,1,1,0,0,0,0,36,0,0,0,0
1,0,0,0,0,205,0.00975609756097561,0.05365853658536585,0,37,0.05405405405405406,0,0,0,0,0,0,16,1,0,86287,755,0,0,5.13572400119064,5.308718851804991,5,6,4,0,0,0,10,0,0,0,0
1,0,0,0,0,73,0.0136986301369863,0.0,0,130,0.06153846153846154,0,0,1,0,1,0,21,0,0,291431,610,1,0,4.966779227215547,5.896708085582112,7,1,0,0,0,0,45,4,0,0,1
1,1,0,0,0,3,1.0,0.0,0,35,0.0,0,0,0,1,1,0,19,0,0,8655,73,2,0,4.206621895771012,4.888698147422361,1,6,2,1,0,0,1,0,0,0,0
1,0,0,0,0,37,0.0,0.08108108108108109,0,89,0.24719101123595505,0,0,1,0,1,0,53,2,1,107270,550,1,0,4.84485411095892,5.6025324088328485,22,26,14,1,0,0,4,0,0,0,1
5,3,0,2,0,201,0.029850746268656716,0.2537313432835821,0,216,0.1388888888888889,0,0,1,1,1,0,60,6,4,511385,3571,1,0,4.870684311847619,5.711737161391161,12,12,0,1,0,0,96,3,0,1,1
0,0,0,0,0,0,0.0,0.0,0,34,0.058823529411764705,0,0,1,1,1,0,6,0,0,75308,57,1,0,5.217043742406691,5.36469341737856,5,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,49,0.08163265306122448,0.0,0,49,0.08163265306122448,0,0,1,0,0,0,18,0,0,72078,717,1,0,4.451207406985508,5.42674363843568,4,3,0,1,0,0,6,0,0,0,0
3,0,0,0,0,126,0.11904761904761904,0.0,0,50,0.08,0,0,0,0,0,0,8,2,0,118291,1128,1,0,4.994533315836974,5.288353390659309,3,4,0,0,0,0,33,0,0,1,0
1,1,0,1,0,4,0.0,0.0,0,11,0.09090909090909091,0,0,0,0,0,0,4,0,0,3050,50,3,0,4.8553726200409075,4.8553726200409075,1,4,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,270,0.02962962962962963,0.0,0,61,0.14754098360655737,0,0,1,1,1,0,40,0,0,291307,1668,4,0,4.852006890795186,5.357176287824762,11,2,2,0,0,0,13,0,0,0,1
1,0,0,1,0,482,0.15145228215767634,0.02074688796680498,0,101,0.07920792079207921,0,0,0,0,0,0,30,0,0,350812,1857,8,0,4.629995051083754,5.4023869524242505,6,3,0,1,0,0,27,0,0,1,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6335,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,309,8,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,55,0.0,0.0,0,40,0.025,0,0,0,0,0,0,3,0,0,24871,224,0,0,5.354456171513173,5.354456171513173,1,1,0,0,0,0,17,1,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,12,0.16666666666666666,0.0,0,29,0.27586206896551724,0,0,0,0,1,0,23,2,2,460935,152,6,0,4.874987849350609,5.336030582435333,8,2,0,1,0,0,2,0,0,0,0
1,1,0,1,0,9,0.0,0.0,0,26,0.3076923076923077,0,0,0,0,1,0,19,5,1,42157,115,4,0,5.164446073495249,5.505617648993258,7,4,0,1,0,0,0,0,0,0,1
1,0,0,0,0,47,0.3404255319148936,0.0,0,56,0.14285714285714285,0,0,1,0,0,0,23,2,0,76926,252,0,0,4.916442542023053,5.31360162805764,13,1,0,0,0,0,18,0,0,0,0
3,1,0,0,0,98,0.02040816326530612,0.02040816326530612,0,128,0.2421875,0,0,0,0,0,0,63,17,0,176163,882,10,0,4.881918010328833,5.415261062359452,22,11,6,1,0,0,49,0,0,0,0
0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,305,10,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,3,0,300,0.056666666666666664,0.0,0,50,0.22,0,0,0,0,1,0,14,1,1,181142,1451,20,3,5.007808152705913,5.522159802481303,5,8,4,0,0,0,14,0,0,0,0
