num_forms,num_password_inputs,external_form_action,empty_form_action,mailto_form_action,num_links,external_link_ratio,empty_link_ratio,ip_link_count,num_resources,external_resource_ratio,uses_eval,uses_document_write,uses_settimeout,uses_setinterval,uses_window_location,uses_onmouseover,num_scripts,num_iframes,hidden_iframes,html_length,num_tags,phishing_keyword_count,urgency_word_count,avg_js_entropy,max_js_entropy,obfuscated_js_count,input_count,hidden_fields_count,has_sensitive_fields,has_marquee,has_hidden_redirect,image_count,external_images_count,cdn_images_count,brand_impersonation,facebook_cookie_harvesting
0,0,0,0,0,1,1.0,0.0,0,4,0.0,0,0,0,0,0,0,3,0,0,4242,45,0,0,4.5719255130098455,4.854476094604396,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,3,0.6666666666666666,0,0,0,0,0,0,1,0,0,858,13,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,1.0,0.0,0,4,0.5,0,0,0,0,0,0,0,0,0,2975,41,1,1,0.0,0.0,0,3,1,0,1,0,2,2,2,0,0
0,0,0,0,0,0,0.0,0.0,0,24,0.0,0,0,0,0,0,0,6,0,0,6882,68,0,0,4.737967245715657,4.889113577583053,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0.16666666666666666,0.3333333333333333,0,41,0.04878048780487805,0,0,1,0,0,0,27,0,0,28734,120,0,0,4.7957982394643555,5.418675533019173,12,0,0,0,0,0,2,0,0,0,0
1,0,0,1,0,2,0.0,0.0,0,74,0.44594594594594594,0,0,1,0,1,0,65,0,0,484474,201,1,0,4.826625118826575,5.615275886197908,26,2,0,1,0,0,1,1,0,0,1
0,0,0,0,0,0,0.0,0.0,0,6,0.5,0,0,0,0,0,0,2,0,0,2538,20,0,0,5.100077694122182,5.100077694122182,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,1.0,0.0,0,7,0.14285714285714285,0,0,0,0,0,0,3,0,0,4176,34,7,0,4.759565659510864,4.759565659510864,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,54,0.0,0.0,0,37,0.43243243243243246,0,0,0,0,0,0,1,0,0,24359,406,0,0,3.9846571944212084,3.9846571944212084,0,4,3,0,0,0,27,16,0,0,0
1,0,0,0,0,2,0.0,0.5,0,44,0.06818181818181818,0,0,1,0,0,0,31,1,0,29714,166,1,0,4.754352445074423,5.415595859658516,11,8,5,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,160,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0.0,1.0,0,41,0.07317073170731707,0,0,1,0,0,0,31,1,0,29281,161,1,0,4.749802787369904,5.419023427143055,11,8,5,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,12,0.25,0,0,0,0,0,0,4,2,0,16042,57,0,0,5.163957640300733,5.163957640300733,1,0,0,0,0,0,4,0,0,1,0
1,0,0,1,0,0,0.0,0.0,0,12,0.8333333333333334,0,0,0,0,0,0,5,0,0,4994,38,2,0,4.494622704944753,4.759565659510864,1,4,0,1,0,0,1,1,1,0,0
1,0,0,1,0,0,0.0,0.0,0,9,0.4444444444444444,0,0,0,0,1,0,6,0,0,7149,42,0,0,4.115954824885742,4.395827741956281,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0.0,0.0,0,21,0.0,0,0,0,0,0,0,6,0,0,6706,65,0,0,4.737967245715657,4.889113577583053,3,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,2,0.5,0.5,0,16,0.3125,0,1,0,0,0,0,10,0,0,26156,62,3,0,4.442980273902112,5.1588742493696325,5,4,2,1,0,0,0,0,0,1,0
1,0,0,0,0,3,0.0,0.6666666666666666,0,40,0.075,0,0,1,0,0,0,27,1,0,29732,157,0,0,4.787468494258263,5.421139534971065,11,8,5,0,0,0,2,0,0,0,0
9,0,9,0,0,224,0.8660714285714286,0.03125,0,140,0.5714285714285714,0,1,0,0,0,0,77,5,4,112519,935,3,1,4.873276958626356,5.47904299326782,34,16,0,0,0,0,55,45,0,0,1
1,0,0,0,0,68,0.0,0.0,0,40,0.4,0,0,0,0,0,0,3,0,0,27181,423,0,0,4.838039816898155,4.838039816898155,1,4,3,0,0,0,34,16,16,0,0
1,0,0,0,0,2,0.0,1.0,0,35,0.08571428571428572,0,0,1,0,0,0,27,1,0,27134,131,0,0,4.747736851515329,5.416851328440315,11,8,5,0,0,0,1,0,0,0,0
1,0,0,0,0,216,0.0,0.0,0,83,0.12048192771084337,0,1,0,1,1,0,11,0,0,101238,1298,0,0,4.7687228931170536,5.165289682536773,5,3,2,0,0,0,61,4,4,0,0
0,0,0,0,0,2,0.5,0.0,0,7,0.8571428571428571,0,0,0,0,0,0,3,0,0,3205,23,12,0,4.759565659510864,4.759565659510864,1,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,1,1.0,0.0,0,4,0.0,0,0,0,0,0,0,3,0,0,4243,45,0,0,4.5719255130098455,4.854476094604396,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,26,0.07692307692307693,0,0,0,0,1,0,19,0,0,118111,276,0,0,4.781104136630163,5.427104808239203,16,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,6,0.0,0.3333333333333333,0,43,0.06976744186046512,0,0,1,0,0,0,27,1,0,32403,168,0,0,4.757686561907724,5.412443252762066,11,8,5,0,0,0,3,0,0,0,0
1,0,1,0,0,1,1.0,0.0,0,4,0.5,0,0,0,0,0,0,0,0,0,2953,40,1,1,0.0,0.0,0,2,0,0,1,0,2,2,2,0,0
1,0,1,0,0,1,1.0,0.0,0,4,0.5,0,0,0,0,0,0,0,0,0,2957,41,1,1,0.0,0.0,0,3,1,0,1,0,2,2,2,0,0
0,0,0,0,0,2,0.0,0.0,0,10,1.0,0,0,0,0,0,0,0,0,0,9067,43,2,0,0.0,0.0,0,0,0,0,0,0,4,4,4,1,0
